COMID,totco2g_m2_day_fill
23101108,0.059301373
23101112,1.909809436
23101114,0.00254873
23101116,0.001772876
23101118,29.02748108
23101122,0.055881079
23101124,0.055881079
23101126,0.001915213
23101132,0.004423593
23101134,0.03160047
23101136,0.005906176
23101138,1.303521488
23101142,0.001207948
23101150,0.815597989
23101152,3.238579906
23101158,4.224743099
23101162,1.051899107
23101166,0.385352216
23101168,0.0057587
23101172,3.63086346
23101184,28.96829033
23101188,0.463378951
23101190,4.138263173
23101196,26.85987854
23101198,0.004835733
23101202,0.524963774
23101204,0.001389041
23101206,0.000144309
23101208,0.003888736
23101210,0.375793749
23101214,0.001479393
23101218,0.578424344
23101220,6.554435708
23101224,0.005350337
23101228,0.011753951
23101230,0.00264821
23101232,0.004321162
23101236,0.173634701
23101238,3.63408569
23101240,0.228271996
23101246,0.001349067
23101248,9.021181152
23101252,1.320477625
23101254,0.01155956
23101256,1.331462113
23101258,0.002673271
23101260,0.012219351
23101262,0.003894802
23101264,0.007264958
23101272,0.005032595
23101274,0.006603722
23101276,0.017006029
23101280,0.09026346
23101282,0.628582009
23101284,0.127125625
23101286,0.00283859
23101288,0.007699289
23101290,0.001943213
23101292,0.00463767
23101294,1.299549059
23101296,2.360326727
23101298,0.399648756
23101302,0.000671802
23101304,1.811569611
23101306,0.005513027
23101308,4.057042378
23101310,0.001645397
23101312,0.002876844
23101314,0.00551475
23101316,0.000999038
23101318,0.536566923
23101320,0.314259552
23101328,0.400364576
23101330,0.43020989
23101336,0.003923389
23101338,0.000887714
23101340,0.001757165
23101342,3.830549704
23101344,1.847043685
23101346,0.003554779
23101348,1.579105554
23101352,0.015620474
23101354,0.002347113
23101356,8.908740301
23101358,0.492506715
23101360,0.091158293
23101362,1.267491616
23101364,0.003249652
23101366,2.048073134
23101368,0.829186472
23101370,0.002242453
23101372,0.02354922
23101374,0.212730359
23101376,1.461039667
23101378,0.133286989
23101380,0.113235969
23101382,0.01146426
23101384,0.007580519
23101386,2.18184042
23101388,7.591363931
23101390,0.003264541
23101392,0.001802366
23101394,0.002816403
23101396,0.089735304
23101398,0.024027242
23101404,0.013211281
23101406,0.000808925
23101408,0.001614369
23101412,0.01259199
23101414,0.002762667
23101416,0.009581314
23101418,1.095006933
23101420,0.938150504
23101422,3.168539867
23101424,0.009159244
23101428,0.003827528
23101430,0.004038722
23101432,0.091713935
23101434,0.007559149
23101436,0.006115738
23101438,0.012443011
23101440,0.000657374
23101442,0.002975423
23101444,0.001923512
23101446,0.002737219
23101448,0.002488212
23101450,0
23101452,0.012001967
23101454,0.004053312
23101458,0.00357676
23101460,0.065413907
23101464,0.002302738
23101466,0.0109597
23101468,0.002087776
23101470,0.718564451
23101472,0.004588224
23101474,0.00380536
23101476,0.000793756
23101478,0.058337238
23101482,4.982519307
23101484,0
23101486,0.002624044
23101488,0
23101492,0.052748928
23101494,0.000565786
23101496,0.000505137
23101498,0.001036349
23101500,0
23101502,0.221889021
23101504,0.012975665
23101506,0.002660775
23101510,1.921315789
23101512,0.031722037
23101514,0.002911273
23101518,1.25752502
23101520,0.000177023
23101524,0.004489731
23101526,0.262986213
23101530,0.007035978
23101534,0.002679811
23101538,0.104757033
23101542,0.008469316
23101548,0.03855673
23101550,0.060201157
23101552,0.003676332
23101554,0.00512115
23101562,0.002895534
23101564,0.55875993
23101568,4.549604893
23101570,4.750482131
23101574,3.128515482
23101576,0.062775068
23101578,0.028445523
23101580,0.001930043
23101582,0.00310561
23101584,0.737628162
23101586,0.091134027
23101588,0.041550367
23101590,0.019754137
23101592,0.002029888
23101594,0.002040765
23101596,0.00102667
23101598,0.004062013
23101600,2.449219429
23101602,3.267300568
23101604,20.20196724
23101606,0.002111807
23101608,0.008215285
23101612,0.051182304
23101614,0.00070759
23101616,0.003314669
23101618,0.014001472
23101620,2.828907581
23101622,0.003235417
23101626,0
23101628,0.126581952
23101630,0.001666289
23101632,0.002701962
23101634,0.00148963
23101636,0.001903987
23101638,3.730902195
23101640,0.002411856
23101644,0.025605936
23101646,1.062857963
23101650,0.059301373
23101652,0.051182304
23101654,0.007243127
23101656,0.388065154
23101660,0.001680443
23101662,3.487904564
23101664,0.018718095
23101666,0.197635844
23101668,0.557291798
23101670,0.01051725
23101672,0.002739399
23101674,0.091158293
23101676,0.003028841
23101680,4.123169778
23101682,0.004844013
23101684,0.008590791
23101686,0.00350968
23101688,0.000747427
23101690,0.007988115
23101692,0.005923773
23101694,0.005344946
23101696,0.011871999
23101700,0.010439178
23101702,3.481613452
23101704,0.010890144
23101706,0.120897226
23101708,0.091713935
23101710,0.004324142
23101712,0.119086832
23101714,0.00293875
23101718,0.002425698
23101722,0.001001832
23101724,0.723900792
23101728,0.00247632
23101730,1.25027029
23101732,0.00702015
23101734,0
23101736,0.001794339
23101738,0.002999206
23101740,0.097985551
23101742,0.001135572
23101744,0.011430794
23101746,0.000922616
23101748,0.002803935
23101750,0.001386129
23101752,8.211633682
23101754,0.004621702
23101756,0.091158293
23101758,0.023902712
23101760,0.000195799
23101762,0.052529927
23101764,0.047701631
23101766,0.007520883
23101768,0.001706168
23101770,0.000271622
23101772,0.059301373
23101774,0.001452358
23101776,0.002548537
23101778,2.569580897
23101784,0.005477207
23101786,0.001438218
23101788,0.00040528
23101790,0.020036329
23101792,0.001213615
23101794,2.974044835
23101796,0.110113598
23101798,0.089347899
23101800,0.000499902
23101802,0.001784248
23101804,0.058091618
23101808,0.002478295
23101812,0.806006628
23101816,0.002099106
23101822,0.001321656
23101824,0.002149187
23101826,0.001992992
23101828,0.000968109
23101830,4.550904486
23101832,0.000495817
23101836,0.001591095
23101838,0.000792411
23101840,0.133980073
23101842,0.114125744
23101844,0
23101846,0.00117873
23101848,0.001736497
23101850,0.000147485
23101852,0.008386392
23101854,0.00089618
23101858,0.001125732
23101860,0
23101862,0.009881193
23101864,0.001063001
23101866,0.001130401
23101868,0.105975129
23101870,0.001591115
23101872,94.76502991
23101874,0.094449066
23101878,0
23101880,0
23101882,0.00531364
23101886,0.000867465
23101888,0.008981253
23101890,0
23101892,0.048884612
23101894,0.001040778
23101896,0.000979185
23101898,0.006750499
23101900,0.002745547
23101902,0.008848433
23101904,0.000948111
23101906,0.007550162
23101908,103.2535324
23101910,0.000925028
23101912,97.38742065
23101914,0
23101916,103.0450363
23101918,0.003731497
23101920,92.87028503
23101930,0.035347786
23101932,0.002433247
23101934,0.000492075
23101936,0.00302899
23101938,0.117416561
23101940,0.111189219
23101942,0.284797575
23101944,0.000720451
23101946,0.005889578
23101948,0.002883044
23101950,0
23101952,0.000401742
23101954,0.001233639
23101956,7.98E-05
23101958,0.00274363
23101960,0.001181865
23101962,0.001245251
23101964,0.000774922
23101966,0.00101979
23101968,0.005542537
23101970,0.097929694
23101972,0.000849629
23101974,0.012989786
23101976,0.006512152
23101978,0.117416561
23101980,0.081349462
23101982,0.001408854
23101984,0.059301373
23101986,0.097929694
23101988,0.058337238
23101990,0.195646659
23101992,0.000361712
23101994,0.084830135
23101996,0.084830135
23101998,0.000694918
23102000,0.011725484
23102002,0.003057547
23102004,0.064863071
23102008,0.001460827
23102010,0.003299529
23102016,0.059301373
23102018,0.000294226
23102024,0.179509022
23102026,0.002058005
23102030,0.122100003
23102032,0.000619976
23102034,0.094504923
23102036,0.055820692
23102038,0.186009005
23102040,0.020679914
23102042,0.001654672
23102044,0.159569809
23102046,0.001467065
23102048,0.001911386
23102050,0.0007753
23102052,0.002124665
23102054,0.00274647
23102056,0.011785143
23102058,0.000805352
23102060,0.002097466
23102062,0.001289724
23102064,0.169764351
23102066,0.0005293
23102068,0.008053879
23102070,0.008621705
23102074,0.002277407
23102078,0.021094593
23102088,0.034575581
23102090,0.662123318
23102092,0.184452564
23102094,0.005833045
23102096,0.002205168
23102098,3.537129433
23102100,101.1057816
23102102,0.042696447
23102104,0.003272949
23102106,0.001554748
23102108,0.058337238
23102110,0.024441695
23102112,0.004855812
23102114,0.250635028
23102116,0.009637479
23102118,0.002131041
23102120,95.58640289
23102124,0.046006629
23102126,0.002674107
23102128,0.002364742
23102130,0.001016008
23102134,0.004086101
23102140,0.080664682
23102142,0.002395862
23102144,0.007811244
23102146,0.004574362
23102148,0.000747921
23102150,0.006126771
23102152,1.401737885
23102154,0.00073415
23102156,0.003604718
23102158,0.000551756
23102168,0.00340401
23102170,0.001158357
23102172,0.00391695
23102174,0.015770856
23102176,0.01647005
23102178,0.116737314
23102180,0.03021257
23102182,0.00105034
23102188,0.002797853
23102190,0.001776003
23102192,0.001110588
23102198,0.03054301
23102202,0.026315185
23102204,1.214111806
23102206,0.003624293
23102208,0.024786991
23102210,0.017448585
23102212,0.05610879
23102214,0.004038216
23102224,0
23102226,0.002667847
23102232,0.187620923
23102234,0.032911984
23102236,0.008051344
23102238,0.002460291
23102238,0.002460291
23102240,0.01980278
23102242,0.024403161
23102244,0.002217485
23102246,94.13684845
23102248,0.110645115
23102250,0.001803873
23102252,0.006867088
23102254,0.004228951
23102258,0.008338835
23102260,0.000362371
23102268,0.176533893
23102270,0.000341736
23102272,0.005696592
23102274,0.000815743
23102276,0.0368839
23102278,0.016844908
23102280,3.444862479
23102282,0.013324297
23102284,0.000980169
23102286,2.135446787
23102290,0.002126852
23102292,104.5891418
23102294,0
23102296,101.5383148
23102298,0.162404791
23102300,90.44461823
23102302,0
23102304,99.49201202
23102306,0.034595953
23102308,0.001446483
23102312,0.004656514
23102314,0.001863274
23102318,0.008857172
23102320,0.002627791
23102322,0.000627102
23102324,0.177108288
