"comid","tocomid","TOT_NLCD01_11","TOT_NLCD01_12","TOT_NLCD01_21","TOT_NLCD01_22","TOT_NLCD01_23","TOT_NLCD01_24","TOT_NLCD01_31","TOT_NLCD01_41","TOT_NLCD01_42","TOT_NLCD01_43","TOT_NLCD01_52","TOT_NLCD01_71","TOT_NLCD01_81","TOT_NLCD01_82","TOT_NLCD01_90","TOT_NLCD01_95","TOT_NODATA"
23099682,23099680,0.56,0.05,2.28,1.78,0.59,0.13,0.83,0.1,34.33,0.03,39.31,5.06,3.15,10.08,1.17,0.54,NA
23099684,23099682,0.57,0.06,2.22,1.74,0.57,0.13,0.85,0.1,35.44,0.03,39.3,4.95,3.09,9.18,1.2,0.56,NA
23099686,23099684,0.57,0.06,2.22,1.75,0.58,0.13,0.86,0.1,35.62,0.03,39.2,4.94,3.11,9.09,1.19,0.56,NA
23099688,23099686,0.57,0.06,2.22,1.74,0.58,0.13,0.86,0.1,35.72,0.03,39.28,4.95,3.12,8.92,1.16,0.56,NA
23099690,23099688,0.57,0.06,2.22,1.74,0.58,0.13,0.86,0.1,35.74,0.03,39.3,4.95,3.12,8.89,1.16,0.56,NA
23099692,23099690,0.57,0.06,2.22,1.75,0.58,0.14,0.87,0.1,35.99,0.03,39.2,4.96,3.14,8.7,1.15,0.55,NA
23099694,23099692,0.64,0.06,2.41,1.8,0.61,0.15,0.98,0.1,37.9,0.02,35.43,4.84,3.54,9.74,1.21,0.56,NA
23099696,23099694,0.64,0.06,2.41,1.8,0.61,0.15,0.98,0.1,37.93,0.02,35.45,4.84,3.54,9.71,1.19,0.56,NA
23099698,23099696,0.64,0.06,2.41,1.8,0.61,0.15,0.98,0.1,37.93,0.02,35.45,4.84,3.54,9.71,1.19,0.56,NA
23099700,23099698,0.64,0.06,2.41,1.8,0.62,0.15,0.98,0.1,37.98,0.02,35.49,4.85,3.54,9.64,1.16,0.56,NA
23099702,23099700,0.64,0.06,2.41,1.8,0.62,0.15,0.98,0.1,37.99,0.02,35.49,4.85,3.54,9.64,1.16,0.56,NA
23099704,23099702,0.64,0.06,2.41,1.8,0.62,0.15,0.98,0.1,38,0.02,35.5,4.85,3.54,9.62,1.16,0.56,NA
23099706,23099704,0.64,0.06,2.41,1.8,0.62,0.15,0.98,0.1,38,0.02,35.5,4.85,3.54,9.62,1.16,0.56,NA
23099708,23099706,0.64,0.06,2.41,1.8,0.62,0.15,0.98,0.1,38,0.02,35.5,4.85,3.54,9.62,1.16,0.56,NA
23099710,23099708,0.64,0.06,2.41,1.8,0.62,0.15,0.98,0.1,38,0.02,35.5,4.85,3.55,9.62,1.15,0.56,NA
23099712,23099710,0.64,0.06,2.41,1.8,0.62,0.15,0.98,0.1,38,0.02,35.5,4.85,3.55,9.62,1.15,0.56,NA
23099714,23099712,0.64,0.06,2.41,1.8,0.62,0.15,0.98,0.1,38.02,0.02,35.52,4.85,3.55,9.59,1.15,0.55,NA
23099716,23099714,0.64,0.06,2.41,1.8,0.62,0.15,0.98,0.1,38.03,0.02,35.53,4.86,3.55,9.58,1.15,0.54,NA
23099718,23099716,0.64,0.06,2.41,1.8,0.62,0.15,0.98,0.1,38.03,0.02,35.53,4.86,3.55,9.58,1.15,0.54,NA
23099720,23099718,0.64,0.06,2.4,1.8,0.62,0.15,0.98,0.1,38.04,0.02,35.53,4.86,3.55,9.58,1.14,0.53,NA
23099722,23099720,0.71,0.07,2.47,1.77,0.62,0.14,1.1,0.11,39.96,0.01,34.06,5.26,3.54,8.72,1.1,0.38,NA
23099724,23099722,0.71,0.07,2.47,1.77,0.62,0.14,1.1,0.11,39.96,0.01,34.06,5.26,3.54,8.72,1.1,0.38,NA
23099726,23099724,0.71,0.07,2.47,1.77,0.62,0.14,1.1,0.11,39.96,0.01,34.07,5.26,3.54,8.72,1.1,0.37,NA
